status,report,source,chars
created,"00-books-result/The printed image and the transformation of popular culture, 1790-1860 (Anderson/B90000037-25-REYNOLDS-S-MISCELLANY-report.md","00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/25-REYNOLDS'S MISCELLANY.md",7413
created,"00-books-result/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/B90000038-27-T-Garden-The-myth-of-disembodiment-I-Artificial-in-report.md","00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/27-T-Garden The myth of disembodiment I Artificial in.md",8853
created,"00-books-result/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/B90000039-19-Magic-Book-Magic-Book-as-an-interface-report.md","00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/19-Magic Book Magic Book as an interface.md",8917
created,"00-books-result/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/B90000040-30-Terminal-Time-Platonic-design-report.md","00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/30-Terminal Time Platonic design.md",8620
created,"00-books-result/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/B90000041-31-Digital-art-Recalling-the-contexts-Computer-softwa-report.md","00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/31-Digital art Recalling the contexts Computer softwa.md",8780
created,"00-books-result/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/B90000042-35-Convergence-and-diversity-Embodying-the-virtual-De-report.md","00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/35-Convergence and diversity Embodying the virtual De.md",8666
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000043-09-The-October-Revolution-and-the-CivilWar-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/09-The October Revolution and the CivilWar.md,8938
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000044-118-Poland-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/118-Poland.md,8398
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000045-131-Art-and-industry-in-the-Austro-HungarianEmpire-Du-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/131-Art and industry in the Austro-HungarianEmpire (Du.md,8561
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000046-08-Chapter-20-Design-in-theSoviet-Union-1905-1928-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/08-Chapter 20 Design in theSoviet Union 1905–1928.md,8346
