status,report,source,score,margin
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0904-Norway-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/149-Norway.md,0.7473,0.4546
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0906-Finland-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/150-Finland.md,0.7319,0.4207
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/08-Chapter 20 Design in theSoviet Union 1905–1928.md,0.3517,0.0926
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0944-Design-Promotion-US-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/185-Design Promotion.md,0.6821,0.3635
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0950-Practice-Industrial-Design-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/191-The Practice of Industrial Design.md,0.5539,0.0953
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/193-R. Buckminster Fuller A MaverickDesigner.md,0.5123,0.1894
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0957-Airplanes-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/198-Airplanes.md,0.6888,0.3523
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/75-Books.md,0.2954,0.0000
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/85-Typography and book design.md,0.3761,0.0109
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/368-Advertising.md,0.4272,0.0475
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/233-EXPOSICION DE LA.md,0.3654,0.0490
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/235-SUPLEMENTO DE.md,0.3706,0.0787
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/350-Graphic design.md,0.3603,-0.0511
