版本编号,文献编号,原版出版年份,所用版本年份,中文译本信息,不同译本差异,推荐使用版本,引用页码版本,备注
ED00038,B1253,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/29-6 无印良品的未来｜座谈会.md
ED00039,B1254,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/30-迈向新领域.md
ED00040,B1255,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/31-为居住和生活创造未来.md
ED00041,B1256,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/32-世界的无印良品.md
ED00042,B1257,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/33-出处·作品一览.md
ED00043,B1258,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/34-供稿者.md
ED00044,B1259,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/35-著作者.md
ED00045,B1260,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/36-无印良品创始成员.md
ED00046,B1270,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》.md
ED00047,B1271,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_01_cover_封面_扉页.md
ED00048,B1272,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_02_preface_A_COLOR_NOTATION___AN_ILLUSTRA.md
ED00049,B1273,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_03_toc_CONTENTS.md
ED00050,B1274,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_04_body_CHAPTER_I___COLOR_NOTATION___O.md
ED00051,B1275,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_05_appendix_APPENDIX_A.md
ED00052,B1276,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_06_body_PHYSIOLOGY.md
ED00053,B1277,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_07_appendix_APPENDIX_A.md
ED00054,B1278,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_08_body_PSYCHOLOGY___PHYSICS—A_Prismat.md
ED00055,B1279,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_09_appendix_APPENDIX_A.md
ED00056,B1280,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_10_body_COLOR_ATLAS___EVALUATION.md
ED00057,B1281,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_11_appendix_APPENDIX_A.md
ED00058,B1282,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_12_body_TRADITIONAL_COLOR_NAMES.md
ED00059,B1283,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_13_appendix_APPENDIX_B.md
ED00060,B1284,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_14_body_ALPHABETICAL_LIST_OF_NAMES_wit.md
ED00061,B1285,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_15_bibliography_TABLE_OF_LUMINOUS_REFLECTANCES.md
ED00062,B1286,1987,1987,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Adam, Peter：Eileen Gray：Architect, Designer, 1987/01-EARLYYOUTH.md"
ED00063,B1287,1987,1987,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Adam, Peter：Eileen Gray：Architect, Designer, 1987/02-STUDENT YEARS.md"
ED00064,B1288,1987,1987,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Adam, Peter：Eileen Gray：Architect, Designer, 1987/03-ENTERING THE TWENTIESRUE DELOTA.md"
ED00065,B1289,1987,1987,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Adam, Peter：Eileen Gray：Architect, Designer, 1987/04-TOWARD ANARCHITECTURE.md"
ED00066,B1290,1987,1987,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Adam, Peter：Eileen Gray：Architect, Designer, 1987/05-AH OUSEFORHERSELFTEMPEÀPAILLA.md"
ED00067,B1291,1987,1987,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Adam, Peter：Eileen Gray：Architect, Designer, 1987/06-BUILDINGFOR OTHERS.md"
ED00068,B1292,1987,1987,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Adam, Peter：Eileen Gray：Architect, Designer, 1987/07-THESECOND WORLD WAR.md"
ED00069,B1293,1987,1987,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Adam, Peter：Eileen Gray：Architect, Designer, 1987/08-STARTING ANEW.md"
ED00070,B1294,1987,1987,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Adam, Peter：Eileen Gray：Architect, Designer, 1987/09-BIBLIOGRAPHY.md"
ED00071,B1295,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Adburgham, Alison：《Libertys a biography of a shop》/Adburgham, Alison：《Libertys a biography of a shop》.md"
ED00072,B1296,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/01-Photomontage.md
ED00073,B1297,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/02-Soebenerschienen!.md
ED00074,B1298,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/03-Der Beginn deS Cebensmit.md
ED00075,B1299,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/04-DADAALMANACH.md
ED00076,B1300,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/05-DURCHLICHT ZUR NACHT.md
ED00077,B1301,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/06-LAS OCHO CONBICIONES BEL PARTIDO COMUNISIA PARA GANAR LA CUE.md
ED00078,B1302,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,"00-books/Ades：《Photomontage》/07-Nn, 111PRIVATE EYEFridav18 March 01ELECTION ISSUE.md"
ED00079,B1303,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/08-CONTROL.md
ED00080,B1404,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/09-FOCKNHOFOCHO.md
ED00081,B1405,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/10-KEMAL PASHAKEMAL'S CONSTRUCTIVE PROGRAM.md
ED00082,B1406,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/Ades：《Photomontage》.md
ED00083,B3200,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/Ades：《Photomontage》_01_cover_封面_扉页.md
